Combination,myPort,Risk
"('SAPPE', 'UNH', 'MSFT', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'MSFT', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'SAT', 'TSMC', 'AVGO')",[0.151 0.    0.422 0.    0.426],3.6533684335772016
"('SAPPE', 'UNH', 'SAT', 'SCB', 'AVGO')",[0.    0.    0.    0.571 0.429],2.5726313626765234
"('SAPPE', 'UNH', 'SAT', 'JPM', 'AVGO')",[0.151 0.    0.422 0.    0.426],3.6533684335772016
"('SAPPE', 'UNH', 'SAT', 'Visa', 'AVGO')",[0.151 0.    0.422 0.    0.426],3.6533684335772016
"('SAPPE', 'UNH', 'SAT', 'META', 'AVGO')",[0.151 0.    0.422 0.    0.426],3.6533684335772016
"('SAPPE', 'UNH', 'SAT', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'SAT', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'SAT', 'NVDA', 'AVGO')",[0.151 0.    0.422 0.    0.426],3.6533684335771994
"('SAPPE', 'UNH', 'SAT', 'Cpaxt', 'AVGO')",[0.151 0.    0.422 0.    0.426],3.6533684335772016
"('SAPPE', 'UNH', 'SAT', 'APPLE', 'AVGO')",[0.151 0.    0.422 0.    0.426],3.6533684335772016
"('SAPPE', 'UNH', 'SAT', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'SAT', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'SAT', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'SAT', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'SAT', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'SAT', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'TSMC', 'SCB', 'AVGO')",[0.    0.    0.    0.571 0.429],2.5726313626765234
"('SAPPE', 'UNH', 'TSMC', 'JPM', 'AVGO')",[0.    0.    0.    0.508 0.492],3.772936764305062
"('SAPPE', 'UNH', 'TSMC', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'TSMC', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'TSMC', 'ABBV', 'AVGO')",[0.    0.    0.    0.526 0.474],3.6383210926986136
"('SAPPE', 'UNH', 'TSMC', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
